concept,layer,k,control_max,task_max,split,control_fires,task_fires,verdict
phones,53,5,2822.11767578125,,held_out,True,False,CONTEXT_NULL
plastic,16,5,749.6350708007812,,held_out,True,False,CONTEXT_NULL
plastic,31,2,636.3324584960938,,held_out,True,False,CONTEXT_NULL
plastic,40,5,5912.9345703125,,held_out,True,False,CONTEXT_NULL
plastic,53,2,5018.119140625,,held_out,True,False,CONTEXT_NULL
poetry,16,3,623.4110107421875,,held_out,True,False,CONTEXT_NULL
poetry,31,3,2551.394775390625,,held_out,True,False,CONTEXT_NULL
poetry,40,3,2374.81005859375,,held_out,True,False,CONTEXT_NULL
poetry,53,5,7034.234375,,held_out,True,False,CONTEXT_NULL
quarries,16,5,299.946533203125,,held_out,True,False,CONTEXT_NULL
quarries,31,3,866.7645263671875,,held_out,True,False,CONTEXT_NULL
quarries,40,4,2987.97607421875,,held_out,True,False,CONTEXT_NULL
quarries,53,4,3603.05810546875,,held_out,True,False,CONTEXT_NULL
rubber,16,3,149.9087677001953,88.14006042480469,pilot,True,True,OK
rubber,31,1,502.760986328125,139.29299926757812,pilot,True,True,OK
rubber,40,5,6269.54931640625,161.72450256347656,pilot,True,True,OK
rubber,53,4,3149.23583984375,0.0,pilot,True,False,CONTEXT_NULL
sadness,16,3,230.94976806640625,,held_out,True,False,CONTEXT_NULL
sadness,31,1,907.8248901367188,,held_out,True,False,CONTEXT_NULL
sadness,40,5,4624.9228515625,,held_out,True,False,CONTEXT_NULL
sadness,53,2,5357.8955078125,,held_out,True,False,CONTEXT_NULL
satellites,16,5,744.9572143554688,0.0,pilot,True,False,CONTEXT_NULL
satellites,31,4,1269.814697265625,88.78059387207031,pilot,True,True,OK
satellites,40,4,5236.880859375,510.8792724609375,pilot,True,True,OK
satellites,53,5,9471.7470703125,556.7857666015625,pilot,True,True,OK
secrecy,16,5,480.1844482421875,19.672426223754883,pilot,True,True,OK
secrecy,31,5,1741.898681640625,201.52879333496094,pilot,True,True,OK
secrecy,40,5,8222.775390625,1139.279541015625,pilot,True,True,OK
secrecy,53,5,6209.44140625,998.7864379882812,pilot,True,True,OK
silver,16,3,74.53388977050781,0.0,pilot,True,False,CONTEXT_NULL
silver,31,1,277.765869140625,0.0,pilot,True,False,CONTEXT_NULL
silver,40,4,9649.3154296875,496.09539794921875,pilot,True,True,OK
silver,53,5,9965.23828125,0.0,pilot,True,False,CONTEXT_NULL
snow,16,3,132.81744384765625,,held_out,True,False,CONTEXT_NULL
snow,31,0,0.0,,held_out,False,False,NO_LATENTS
snow,40,0,0.0,,held_out,False,False,NO_LATENTS
snow,53,5,10264.947265625,,held_out,True,False,CONTEXT_NULL
sugar,16,3,79.54388427734375,,held_out,True,False,CONTEXT_NULL
sugar,31,2,493.82415771484375,,held_out,True,False,CONTEXT_NULL
sugar,40,4,4938.6171875,,held_out,True,False,CONTEXT_NULL
sugar,53,5,13019.0830078125,,held_out,True,False,CONTEXT_NULL
treasures,16,5,329.017822265625,,held_out,True,False,CONTEXT_NULL
treasures,31,4,862.7474975585938,,held_out,True,False,CONTEXT_NULL
treasures,40,4,3380.59033203125,,held_out,True,False,CONTEXT_NULL
treasures,53,3,5335.88671875,,held_out,True,False,CONTEXT_NULL
trees,16,1,44.22126770019531,,held_out,True,False,CONTEXT_NULL
trees,31,0,0.0,,held_out,False,False,NO_LATENTS
trees,40,1,692.281005859375,,held_out,True,False,CONTEXT_NULL
trees,53,0,0.0,,held_out,False,False,NO_LATENTS
trumpets,16,5,909.962890625,0.0,pilot,True,False,CONTEXT_NULL
trumpets,31,5,3693.96875,35.35868835449219,pilot,True,True,OK
trumpets,40,5,11329.806640625,121.56647491455078,pilot,True,True,OK
trumpets,53,5,16027.798828125,1331.39599609375,pilot,True,True,OK
vegetables,16,5,333.86669921875,0.0,pilot,True,False,CONTEXT_NULL
vegetables,31,2,363.13494873046875,0.0,pilot,True,False,CONTEXT_NULL
vegetables,40,0,0.0,,pilot,False,False,NO_LATENTS
vegetables,53,3,4149.12109375,0.0,pilot,True,False,CONTEXT_NULL
volcanoes,16,5,447.639892578125,,held_out,True,False,CONTEXT_NULL
volcanoes,31,2,598.66943359375,,held_out,True,False,CONTEXT_NULL
volcanoes,40,2,2113.7197265625,,held_out,True,False,CONTEXT_NULL
volcanoes,53,1,3748.098388671875,,held_out,True,False,CONTEXT_NULL
xylophones,16,5,517.6997680664062,0.0,pilot,True,False,CONTEXT_NULL
xylophones,31,5,990.8270874023438,0.0,pilot,True,False,CONTEXT_NULL
xylophones,40,5,7848.5908203125,319.0357971191406,pilot,True,True,OK
xylophones,53,5,12353.283203125,160.6289825439453,pilot,True,True,OK
youths,16,5,559.533447265625,,held_out,True,False,CONTEXT_NULL
youths,31,4,1031.98388671875,,held_out,True,False,CONTEXT_NULL
youths,40,5,3709.26171875,,held_out,True,False,CONTEXT_NULL
youths,53,5,6945.89013671875,,held_out,True,False,CONTEXT_NULL
