stimulus_id,prompt_group,phrasing_id,cell_id,family,direction,frame_type,negation,concept,concept_number,split,other_concept,carrier,carrier_order,target,similarity_to_this_concept,max_similarity,n_prompt_tokens,prompt
D2_dust_c1,D2|dust|1,D2,focus_imp_both,focus_neg,toward,imperative,both,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not discount dust."
D3_dust_c1,D3|dust|1,D3,focus_imp_both,focus_neg,toward,imperative,both,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,32,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not de-emphasize dust."
D4_dust_c1,D4|dust|1,D4,focus_imp_both,focus_neg,toward,imperative,both,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not disattend dust."
E1_dust_c1,E1|dust|1,E1,focus_decl_syn,focus_neg,toward,declarative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,32,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is not beside the point here."
E2_dust_c1,E2|dust|1,E2,focus_decl_syn,focus_neg,toward,declarative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is not extraneous here."
E3_dust_c1,E3|dust|1,E3,focus_decl_syn,focus_neg,toward,declarative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,33,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust does not belong to a different task."
F1_dust_c1,F1|dust|1,F1,focus_decl_both,focus_neg,toward,declarative,both,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,32,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is not irrelevant to this task."
F2_dust_c1,F2|dust|1,F2,focus_decl_both,focus_neg,toward,declarative,both,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,34,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is not unrelated to what you are writing."
F3_dust_c1,F3|dust|1,F3,focus_decl_both,focus_neg,toward,declarative,both,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,32,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is not immaterial to this task."
G1_dust_c1,G1|dust|1,G1,mental_imp_syn,mental,away,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,34,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: whatever you do, do not think about dust."
G2_dust_c1,G2|dust|1,G2,mental_imp_syn,mental,away,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not think about dust."
G3_dust_c1,G3|dust|1,G3,mental_imp_syn,mental,away,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not consider dust."
H1_dust_c1,H1|dust|1,H1,output_imp_syn,output,away,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not mention dust."
H2_dust_c1,H2|dust|1,H2,output_imp_syn,output,away,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not write dust."
I1_dust_c1,I1|dust|1,I1,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: set dust aside."
I2_dust_c1,I2|dust|1,I2,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: skip past dust."
I3_dust_c1,I3|dust|1,I3,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: pass over dust."
I4_dust_c1,I4|dust|1,I4,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: leave dust out."
I5_dust_c1,I5|dust|1,I5,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,27,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: ignore dust."
J1_dust_c1,J1|dust|1,J1,away_imp_morph,disregard,away,imperative,morphological,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,27,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: disregard dust."
J2_dust_c1,J2|dust|1,J2,away_imp_morph,disregard,away,imperative,morphological,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,27,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: discount dust."
J3_dust_c1,J3|dust|1,J3,away_imp_morph,disregard,away,imperative,morphological,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: de-emphasize dust."
J4_dust_c1,J4|dust|1,J4,away_imp_morph,disregard,away,imperative,morphological,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: disattend dust."
K1_dust_c1,K1|dust|1,K1,relevance_decl_none,relevance,away,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is beside the point here."
K2_dust_c1,K2|dust|1,K2,relevance_decl_none,relevance,away,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is extraneous here."
K3_dust_c1,K3|dust|1,K3,relevance_decl_none,relevance,away,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust belongs to a different task."
L1_dust_c1,L1|dust|1,L1,relevance_decl_morph,relevance,away,declarative,morphological,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is irrelevant to this task."
L2_dust_c1,L2|dust|1,L2,relevance_decl_morph,relevance,away,declarative,morphological,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,33,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is unrelated to what you are writing."
L3_dust_c1,L3|dust|1,L3,relevance_decl_morph,relevance,away,declarative,morphological,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is immaterial to this task."
M1_dust_c1,M1|dust|1,M1,relevance_decl_syn,relevance,away,declarative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,32,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is not relevant to this task."
M2_dust_c1,M2|dust|1,M2,relevance_decl_syn,relevance,away,declarative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust does not matter here."
N1_dust_c1,N1|dust|1,N1,incong_imp_none,incongruent,neutral,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,27,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: juggle dust."
N2_dust_c1,N2|dust|1,N2,incong_imp_none,incongruent,neutral,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,27,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: laminate dust."
N3_dust_c1,N3|dust|1,N3,incong_imp_none,incongruent,neutral,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: notarize dust."
N4_dust_c1,N4|dust|1,N4,incong_imp_none,incongruent,neutral,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: braise dust."
N5_dust_c1,N5|dust|1,N5,incong_imp_none,incongruent,neutral,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,27,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: centrifuge dust."
P1_dust_c1,P1|dust|1,P1,incong_imp_syn,incongruent,neutral,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not juggle dust."
P2_dust_c1,P2|dust|1,P2,incong_imp_syn,incongruent,neutral,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not laminate dust."
P3_dust_c1,P3|dust|1,P3,incong_imp_syn,incongruent,neutral,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not notarize dust."
P4_dust_c1,P4|dust|1,P4,incong_imp_syn,incongruent,neutral,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not braise dust."
P5_dust_c1,P5|dust|1,P5,incong_imp_syn,incongruent,neutral,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not centrifuge dust."
Q1_dust_c1,Q1|dust|1,Q1,nonce_imp_none,nonce,neutral,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: glorf dust."
Q2_dust_c1,Q2|dust|1,Q2,nonce_imp_none,nonce,neutral,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: flarn dust."
Q3_dust_c1,Q3|dust|1,Q3,nonce_imp_none,nonce,neutral,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: vusk dust."
R1_dust_c1,R1|dust|1,R1,nonce_imp_syn,nonce,neutral,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not glorf dust."
R2_dust_c1,R2|dust|1,R2,nonce_imp_syn,nonce,neutral,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not flarn dust."
R3_dust_c1,R3|dust|1,R3,nonce_imp_syn,nonce,neutral,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not vusk dust."
S1_dust_c1,S1|dust|1,S1,nonce_decl_none,nonce,neutral,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,33,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is glorfy to this task."
S2_dust_c1,S2|dust|1,S2,nonce_decl_none,nonce,neutral,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,32,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is flarny to this task."
S3_dust_c1,S3|dust|1,S3,nonce_decl_none,nonce,neutral,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,32,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is vusky to this task."
T1_dust_c1,T1|dust|1,T1,base_bare_none,baseline,neutral,none,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,26,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust."
T2_dust_c1,T2|dust|1,T2,base_bare_syn,baseline,neutral,none,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,27,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: not dust."
T3_dust_c1,T3|dust|1,T3,base_filler_none,baseline,neutral,none,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: . . . . . dust."
T4_dust_c1,T4|dust|1,T4,base_filler_adjacent,baseline,neutral,none,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: . . . . not dust."
T5_dust_c1,T5|dust|1,T5,base_filler_detached,baseline,neutral,none,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: not . . . . dust."
T6_dust_c1,T6|dust|1,T6,floor_control,control,away,declarative,morphological,dust,mass,held_out,fountains,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: fountains are irrelevant to this task."
T7_dust_c1,T7|-|1,T7,base_absent,baseline,none,none,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,18,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule."""
A1_dust_c2,A1|dust|2,A1,focus_imp_none,focus,toward,imperative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,28,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: concentrate on dust."
A2_dust_c2,A2|dust|2,A2,focus_imp_none,focus,toward,imperative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,28,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: think about dust."
B1_dust_c2,B1|dust|2,B1,focus_decl_none,focus,toward,declarative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,31,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust is relevant to this task."
B2_dust_c2,B2|dust|2,B2,focus_decl_none,focus,toward,declarative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,31,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust is related to this task."
B3_dust_c2,B3|dust|2,B3,focus_decl_none,focus,toward,declarative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,30,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust is the point here."
C1_dust_c2,C1|dust|2,C1,focus_imp_syn,focus_neg,toward,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,29,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not ignore dust."
C2_dust_c2,C2|dust|2,C2,focus_imp_syn,focus_neg,toward,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,29,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not overlook dust."
C3_dust_c2,C3|dust|2,C3,focus_imp_syn,focus_neg,toward,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,30,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not set dust aside."
C4_dust_c2,C4|dust|2,C4,focus_imp_syn,focus_neg,toward,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,30,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not skip past dust."
D1_dust_c2,D1|dust|2,D1,focus_imp_both,focus_neg,toward,imperative,both,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,29,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not disregard dust."
D2_dust_c2,D2|dust|2,D2,focus_imp_both,focus_neg,toward,imperative,both,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,29,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not discount dust."
D3_dust_c2,D3|dust|2,D3,focus_imp_both,focus_neg,toward,imperative,both,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,32,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not de-emphasize dust."
D4_dust_c2,D4|dust|2,D4,focus_imp_both,focus_neg,toward,imperative,both,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,30,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not disattend dust."
E1_dust_c2,E1|dust|2,E1,focus_decl_syn,focus_neg,toward,declarative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,32,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust is not beside the point here."
E2_dust_c2,E2|dust|2,E2,focus_decl_syn,focus_neg,toward,declarative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,30,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust is not extraneous here."
E3_dust_c2,E3|dust|2,E3,focus_decl_syn,focus_neg,toward,declarative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,33,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust does not belong to a different task."
F1_dust_c2,F1|dust|2,F1,focus_decl_both,focus_neg,toward,declarative,both,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,32,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust is not irrelevant to this task."
F2_dust_c2,F2|dust|2,F2,focus_decl_both,focus_neg,toward,declarative,both,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,34,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust is not unrelated to what you are writing."
F3_dust_c2,F3|dust|2,F3,focus_decl_both,focus_neg,toward,declarative,both,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,32,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: dust is not immaterial to this task."
G1_dust_c2,G1|dust|2,G1,mental_imp_syn,mental,away,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,34,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: whatever you do, do not think about dust."
G2_dust_c2,G2|dust|2,G2,mental_imp_syn,mental,away,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,30,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not think about dust."
G3_dust_c2,G3|dust|2,G3,mental_imp_syn,mental,away,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,29,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not consider dust."
H1_dust_c2,H1|dust|2,H1,output_imp_syn,output,away,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,29,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not mention dust."
H2_dust_c2,H2|dust|2,H2,output_imp_syn,output,away,imperative,syntactic,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,29,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: do not write dust."
I1_dust_c2,I1|dust|2,I1,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,28,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: set dust aside."
I2_dust_c2,I2|dust|2,I2,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,28,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: skip past dust."
I3_dust_c2,I3|dust|2,I3,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,28,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: pass over dust."
I4_dust_c2,I4|dust|2,I4,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,28,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: leave dust out."
I5_dust_c2,I5|dust|2,I5,away_imp_none,disregard,away,imperative,none,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,27,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: ignore dust."
J1_dust_c2,J1|dust|2,J1,away_imp_morph,disregard,away,imperative,morphological,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,27,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: disregard dust."
J2_dust_c2,J2|dust|2,J2,away_imp_morph,disregard,away,imperative,morphological,dust,mass,held_out,,The basketball bounced off the rim.,2,The basketball bounced off the rim.,-0.154,2.232,27,"Write exactly this sentence and nothing else:
""The basketball bounced off the rim.""
While you write it: discount dust."
